Geological_Feature,Setting,Constraint_Type,Definition,Piles_Assessment,Suction_Caisson_Assessment,GBS_Assessment,Cables_Assessment,Dominant_Constraint,Comments,References
Iceberg ploughmark (field),Glacial,Lithology,"Groove or furrow caused by the impact and movement of grounded icebergs along the sea or lake floor (Bell et al. 2016 In: Dowdeswell et al., 2016).",Lower Constraint,Lower Constraint,Higher Constraint,Lower Constraint,Uneven ground,May require seabed preparation before installation of foundations.,"Evans, D.J., Roberts, D.H., Bateman, M.D., Clark, C.D., Medialdea, A., Callard, L., Grimoldi, E., Chiverrell, R.C., Ely, J., Dove, D. and Ó Cofaigh, C., 2021. Retreat dynamics of the eastern sector of the British–Irish Ice Sheet during the last glaciation. Journal of Quaternary Science, 36(5), pp.723-751."
U-shaped valley (e.g. Fjord),Glacial,Relief,"A valley having a pronounced parabolic cross-profile suggesting the form of a broad letter ‘U’ with steep parallel walls and a broad, nearly flat floor; specifically a valley carved by glacial erosion, such as a glacial trough or fjord (Bell et al. 1997. In: Dowdeswell et al., 2016).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,>5 degree slope,"Can be prone to avalanches, ice, natural hazards and vulnerable to inclement weather that can take down transmission lines (Barajas, 2019).","Stoker, M.S., Bradwell, T., Howe, J.A., Wilkinson, I.P. and McIntyre, K., 2009. Lateglacial ice-cap dynamics in NW Scotland: evidence from the fjords of the Summer Isles region. Quaternary Science Reviews, 28(27-28), pp.3161-3184.

Barajas, R.S.B., Multi-criteria wind energy siting assessment: a case study in the West Fjords (Doctoral dissertation)."
Coarse lag deposits,Marine,Lithology,"Typically coarse-grained material (dominated by gravel with boulders) derived from Pleistocene glacial sediments that have been modified during the Holocene by winnowing, seafloor polishing and transport of the finer fraction to be redeposited elsewhere. Also can occur as near shore heterogeneous deposits associated with transgressive system tracts in non- glacial environments.",Moderate constraint,Moderate constraint,Higher Constraint,Lower Constraint,Coarse soil units (including gravel),Potential for highly variable ground conditions and overconsolidation. Potential for obstructions such as cobble beds and boulders. Hard substate that may be difficult to penetrate. May require seabed preparation.,"Mellett, C.L., Long, D. and Carter, G., 2015. Geology of the seabed and shallow subsurface: The Irish Sea.

Coughlan, M., Long, M. and Doherty, P., 2020. Geological and geotechnical constraints in the Irish Sea for offshore renewable energy. Journal of Maps, 16(2), pp.420-431."
Marine bar form (Contourite drift/ sediment apron/ sediment drift/ sediment lobe/energetic wave or current regime),Marine,"Lithology, relief","Tend to be larger than CURRENT-INDUCED BEDFORMS (e.g. Venditti, 2013), are often forced by macro-scale topography (e.g. channels – point bar; headlands - banner), and develop over longer periods of time (e.g. Dury, 1970).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active sedimentary system,"Indicative of mobile sediments. Mobility may remove sediment from around the foundation and buried skirt, anchor, or conversely may increase lateral loading on side of foundation. Mobility may remove sediment overlying the buried cable which will leave it at risk from anchor interactions, and conversely may increase the sediment volume overlying the buried cable which can result in the cable exceeding the thermal threshold and hotspots developing.","Ward, I. and Larcombe, P., 2008. Determining the preservation rating of submerged archaeology in the post-glacial southern North Sea: a first-order geomorphological approach. Environmental Archaeology, 13(1), pp.59-83.

https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf

Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Sediment bank/Bank crest,Marine,Relief,Formed by interactions between current instabilities (commonly generating cyclonic flows) and unconsolidated sediment at the seabed. SEDIMENT BANKS are the largest Current-induced BEDFORMS within the Submarine Setting and require sufficiently rapid current flows and high rates of sediment supply.,Moderate constraint,Higher Constraint,Higher Constraint,Higher Constraint,Uneven ground,Flat-topped stable banks can be developed - however margins of banks may have steep slopes,"https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf

Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Sediment waves/dunes,Marine,Lithology,"Sediment waves/dunes have a broad range of morphologies and represent transverse bedforms larger than ripples (wavelength 0.6–10 m, height 0.1–1 m).",Moderate constraint,Moderate constraint,Higher Constraint,Higher Constraint,Active sedimentary system,"May require scour mitigation measures if mobile sediments. Mobility may remove sediment overlying the buried cable which will leave it at risk from anchor interactions, and conversely may increase the sediment volume overlying the buried cable which can result in the cable exceeding the thermal threshold and hotspots developing. Requires monitoring to ensure burial depth/ exposure is considered. ","https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf

Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Submarine canyon (canyon/ canyon head / canyon mouth / tributary canyon),Marine,"Lithology, relief","Steep-sided, GENERALLY V-shaped valleys with heads at or near the CONTINENTAL SHELF edge. They extend across the CONTINENTALSLOPE and are commonly linked to numerous tributaries, similar to unglaciated river-cut canyons on land (Amblas et al., 2018; Covault,2011; Harris and Baker, 2011; Huang et al., 2014; Pratson et al., 2007; Puig et al., 2014).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active sedimentary system,"Typically extremely dynamic environments incl. sediment gravity flows / landslides, internal tides with high current velocities, mobile bedforms. Bedrock is often exposed along steep canyon flanks and terraces, also leading to very variable ground conditions. High water depths make submarine canyons unsuitable for all fixed foundations, and very unfavourable for anchoring systems. May be used for cables and pipelines but comprehensive due diligence / hazard assessments must be undertaken.","https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf

Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Submarine channel,Marine,"Lithology, relief","Formed by sediment-laden turbidity currents and other sediment-rich gravity currents (Klaucke and Hesse, 1996; Peakall et al., 2000; Peakall and Sumner, 2015) or by fluvial incision during low-stands and buried during sea level rise..",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active sedimentary system,"Highly dynamic setting with mass flows that can damage / sever subsea cables and pipelines. Typically found along steep slopes (e.g., continental margins) and therefore not suitable for any foundation type. Typically found in deeper water environments, and therefore less favourable for fixed foundations.","https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf

Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Submarine fan,Marine,"Lithology, relief","Develop on the CONTINENTAL SLOPE, RISE and ABYSSAL PLAIN, normally at the mouths of SUBMARINE CANYONS. They are constructed principally from the deposits of sediment gravity flows (mainly turbidity currents and debris flows) as terrigenous and shallow marine sediment is redistributed into deeper water (Clark et al., 1992; Covault, 2011; Deptuck and Sylvester, 2018; Shanmugam, 2016).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active sedimentary system,"Highly dynamic setting with mass flows that can damage / sever subsea cables and pipelines. Typically found along continental margins down to abyssal plains and therefore not suitable for any foundation type. Typically found in deeper water environments, and therefore unsuitable for fixed foundations and very unfavourable for anchors.","https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf

Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Submarine or submerged delta - active,Marine,"Lithology, relief","Submarine tidal deltas, develop from the nearshore to the shelf break or submerged coastal riverine/estuarine deltas and pro-deltas deposits",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active sedimentary system,Active sedimentary system ,"https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf

Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Submarine or submerged delta - inactive,Marine,"Lithology, relief","Submarine tidal deltas, develop from the nearshore to the shelf break or submerged coastal riverine/estuarine deltas and pro-deltas deposits",Moderate constraint,Higher Constraint,Higher Constraint,Higher Constraint,Heterogeneous sediments,"Inactive, buried system may have heterogeneous sediments","https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf

Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Submarine gully,Marine,"Lithology, relief","Small-scale (<10 km) confined channels, generally on the order of tens of meters deep and often linear in planform. SUBMARINE GULLIES are commonly found within or alongside SUBMARINE CANYONS on the continental slope and may represent an incipient stage of canyon development (Amblas et al., 2018; Gales et al., 2013; Izumi, 2004; Micallef and Mountjoy, 2011; Pratson et al., 2007)",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active sedimentary system,"Highly dynamic setting with mass flows that can damage / sever subsea cables and pipelines. Typically found along continental margins down to abyssal plains and therefore not suitable for any foundation type. Typically found in deeper water environments, and therefore unsuitable for fixed foundations and very unfavourable for anchors.","https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf

Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Alluvial fan,Fluvial,"Lithology, relief","Usually cone-shaped forms with surface slopes radiating away from an apex located at the point where the feeder SUBAERIAL CHANNEL splits to form DISTRIBUTARY CHANNELS. Their fan-like geometry can be modified by the confinement of neighbouring fans or valley walls (modified from Goudie, 2006).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active sedimentary system,"Exposure of fresh sediment in the alluvial fan at the confluence of the main river and its steep tributary provided an ongoing source of sediment that could be mobilised into the river system in any subsequent rainfall event (Reynolds et al., 2018)","Reynolds, J.M., Fernandes, A.B. and Catt, L.M., 2018. The role of georisk management in Marine Renewable Energy Projects. In Proceedings of the Asian Wave and Tidal Energy Conference (AWTEC).

Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Buried/submerged river valley / channel,Fluvial,"Lithology, relief","Form via combinations of fluvial and coastal processes (see Additional Attributes: Marginal marine process classification); they widen by lateral SUBAERIAL CHANNEL erosion and weathering, and lengthen by both headward erosion and progradation in their lower reaches. SUBAERIAL VALLEYS can form networks with a variety of drainage patterns",Moderate constraint,Moderate constraint,Higher Constraint,Moderate constraint,Heterogeneous sediments,,"Busschers, F.S., Cohen, K.M., Wesselingh, F.P., Bakker, M., Schokker, J., van Balen, R.T. and van Heteren, S., 2025. 10 Quaternary. In Geology of the Netherlands (pp. 333-391). Amsterdam University Press."
Open river valley / channel,Fluvial,"Lithology, relief","Form via combinations of fluvial and coastal processes (see Additional Attributes: Marginal marine process classification); they widen by lateral SUBAERIAL CHANNEL erosion and weathering, and lengthen by both headward erosion and progradation in their lower reaches. SUBAERIAL VALLEYS can form networks with a variety of drainage patterns",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active sedimentary system,Active sedimentary system ,"https://nora.nerc.ac.uk/id/eprint/514946/1/Seabed_Geomorpholgy_classification_BGS_Open_Report.pdf

Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B"
Beach,Coastal,"Lithology, relief","A wave-deposited body of sand or gravel formed along open coast (marine), estuarine and lacustrine shorelines (beach face, shoreface, sandy shoal etc.)",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Shallow water depth (<15-20 m),Exposure or displacement of near shore cables may result from coastal processes; increasing risk to cables from external threats. Cables can be protected via Horizontal drilling (HDD). ,"Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B

Development and demonstration of Systems Based Estuary Simulators (EstSim) Project FD2117/PR2"
Estuary,Coastal,"Lithology, relief","Estuaries are classified into the following estuarine behavioural types: Generic fjord (fjord, fjord, ria), spit-enclosed drowned river valley, funnel-shaped river valley, embayment and tidal inlet (EstSim R&D project Record FD2117/PR2)",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Shallow water depth (<15-20 m),"A hard stratum overlying a weaker one presents a danger that may cause a foundation to punch through the softer sediments.  

Exposure or displacement of near shore cables may result from coastal processes; increasing risk to cables from external threats. Cables can be protected via Horizontal drilling (HDD). ","Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B

Development and demonstration of Systems Based Estuary Simulators (EstSim) Project FD2117/PR2"
Coastal bar form,Coastal,Lithology,"Any type of BARFORM formed in a Coastal Setting (e.g., nearshore bar, berm, shoreface terrace, beach cusp etc)",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Active sedimentary system,Exposure or displacement of near shore cables may result from coastal processes; increasing risk to cables from external threats. Cables can be protected via Horizontal drilling (HDD). ,"Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B

Development and demonstration of Systems Based Estuary Simulators (EstSim) Project FD2117/PR2"
Delta,Coastal,Lithology,"A discrete shoreline sedimentary protuberance formed where a river enters a body of water and supplies sediment more rapidly than it can be redistributed by basial processes (modified from: Elliott, 1986).",Moderate constraint,Moderate constraint,Higher Constraint,Higher Constraint,Heterogeneous sediments,Exposure or displacement of near shore cables may result from coastal processes; increasing risk to cables from external threats. Cables can be protected via Horizontal drilling (HDD). ,"Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B

Development and demonstration of Systems Based Estuary Simulators (EstSim) Project FD2117/PR2"
Barrier,Coastal,Lithology,"Elongate accumulations of sand or coarser sediment primarily deposited by waves and longshore currents, rising above the present sea level, often impounding terrestrial drainage or blocking off a LAGOON in the BACKBARRIER (modified from Griffin et al., 2012; Woodroffe, 2002). Can be sub-classified using their number of attachment points to the mainland (cf. SALIENT/TOMBOLO; BAY-MOUTH; SPIT).",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Shallow water depth (<15-20 m),Exposure or displacement of near shore cables may result from coastal processes; increasing risk to cables from external threats. Cables can be protected via Horizontal drilling (HDD). ,"Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B

Development and demonstration of Systems Based Estuary Simulators (EstSim) Project FD2117/PR2"
Back barrier (flats and lagoons),Coastal,Lithology,"A relatively protected area between the BARRIER and the mainland, which may be occupied by FLATS or a LAGOON.",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Shallow water depth (<15-20 m),"A hard stratum overlying a weaker one presents a danger that may cause a foundation to punch through the softer sediments.

Exposure of near shore cables may result from coastal processes; increasing risk to cables from external threats. Cables can be protected via Horizontal drilling (HDD). ","Beets, D.J. and van der Spek, A.J., 2000. The Holocene evolution of the barrier and the back-barrier basins of Belgium and the Netherlands as a function of late Weichselian morphology, relative sea-level rise and sediment supply.

Netherlands Journal of Geosciences, 79(1), pp.3-16.Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B

Development and demonstration of Systems Based Estuary Simulators (EstSim) Project FD2117/PR2"
Tidal flat,Coastal,Lithology,"Low gradient intertidal to supratidal surfaces formed in fine-grained sediment (Woodroffe, 2002).",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Shallow water depth (<15-20 m),"A hard stratum overlying a weaker one presents a danger that may cause a foundation to punch through the softer sediments. 

Exposure of near shore cables may result from coastal processes; increasing risk to cables from external threats. Cables can be protected via Horizontal drilling (HDD). ","Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B

Development and demonstration of Systems Based Estuary Simulators (EstSim) Project FD2117/PR2"
Rocky coast,Coastal,Lithology,Any length of coast that is predominantly characterised by rock (rather than sediment or vegetation),Higher Constraint,Higher Constraint,Higher Constraint,Moderate constraint,Shallow water depth (<15-20 m),"Boulders can occur occasionally, especially in the areas of Rapakivi granite bedrock, and De Geer moraine fields (e.g., Finland). 

Exposure of near shore cables may result from coastal processes; increasing risk to cables from external threats. Cables can be protected via Horizontal drilling (HDD). ","Dove et al. (2020) https://zenodo.org/records/4075248

Nanson et al. (2023) - https://zenodo.org/record/7804019#.ZGZl6qXMK3B

Development and demonstration of Systems Based Estuary Simulators (EstSim) Project FD2117/PR2"
Buried or exposed eustatic escarpment (excessive seabed gradient),Solid Earth,Relief,Escarpments formed by sea level stand stills that can be totally or partially covered by transgressive sediment tracts. Vary in length from few km to various tens of kms.,Moderate constraint,Moderate constraint,Higher Constraint,Moderate constraint,Uneven ground,Development implications will depend on the gradient of the seabed slope. ,"Micallef, A., Foglini, F., Le Bas, T., Angeletti, L., Maselli, V., Pasuto, A. and Taviani, M., 2013. The submerged paleolandscape of the Maltese Islands: Morphology, evolution and relation to Quaternary environmental change. Marine Geology, 335, pp.129-147."
Bedrock outcrop/subcrop (undifferentiated),Solid Earth,Lithology,A relief formed by bedrock of unspecified lithology and genesis cropping out of the surrounding seabed. Subcropping of bedrock can be common and covered by thin sediment covers in sediment starved shelves.,Higher Constraint,Higher Constraint,Lower Constraint,Higher Constraint,Strong bedrock - undifferentiated,"Depending on the lithology and strength of the bedrock, pile driving may be successful however that would require significant weathering of rockhead to reduce the bedrock to strengths comparable with unlithified deposits (e.g., stiff clay characteristics). 

Cables must be surface-laid, increasing exposure to environmental and anthropogenic hazards. Sensitive benthic communities must be protected. ","Berry, T.W., Fish, P.R., Price, S.J. and Hadlow, N.W., 2020. Chapter 10 Periglacial geohazards in the UK. Geological Society, London, Engineering Geology Special Publications, 29(1), pp.259-289.
Schläppy, M.L., Šaškov, A. and Dahlgren, T.G., 2014. Impact hypothesis for offshore wind farms: explanatory models for species distribution at extremely exposed rocky areas. Continental Shelf Research, 83, pp.14-23.
Petrie, H.E., Eide, C.H., Haflidason, H. and Watton, T., 2022. A conceptual geological model for offshore wind sites in former ice stream settings: the Utsira Nord site, North Sea. Journal of the Geological Society, 179(5), pp.jgs2021-163."
Bedrock outcrop/subcrop; carbonate,Solid Earth,Lithology,A relief formed by bedrock of unspecified lithology and genesis cropping out of the surrounding seabed. Subcropping of bedrock can be common and covered by thin sediment covers in sediment starved shelves.,Higher Constraint,Higher Constraint,Moderate constraint,Moderate constraint,Variable geotechnical properties,"Bedrock close to seabed surface can be difficult to pile - other foundation methods required. Carbonate rock (including chalk) can have highly variable geotechnical properties, from putty-like (soil) to strong bedrock

Cables must be surface-laid, increasing exposure to environmental and anthropogenic hazards. Sensitive benthic communities must be protected.","Mellett, C.L., Phillips, E., Lee, J.R., Cotterill, C.J., Tjelta, T.I., James, L. and Duffy, C., 2020. Elsterian ice?sheet retreat in the southern North Sea: antecedent controls on large?scale glaciotectonics and subglacial bed conditions. Boreas, 49(1), pp.129-151."
Bedrock outcrop/subcrop; sedimentary; clastic,Solid Earth,Lithology,A relief formed by bedrock of unspecified lithology and genesis cropping out of the surrounding seabed. Subcropping of bedrock can be common and covered by thin sediment covers in sediment starved shelves.,Higher Constraint,Higher Constraint,Lower Constraint,Higher Constraint,Strong bedrock ,"Bedrock close to seabed surface can be difficult to pile - other foundation methods required. 

Cables must be surface-laid, increasing exposure to environmental and anthropogenic hazards. Sensitive benthic communities must be protected.","Liingaard, M.A., Mygind, M., Thomas, S., Clare, M. and Pickles, A., 2012, September. Evidence of tertiary intrusive rock at the West of Duddon Sands Offshore Wind Farm. In SUT Offshore Site Investigation and Geotechnics (pp. SUT-OSIG). SUT.

Coughlan, M., Long, M. and Doherty, P., 2020. Geological and geotechnical constraints in the Irish Sea for offshore renewable energy. Journal of Maps, 16(2), pp.420-431.

Georgiopoulou, A., Lipp, P., Abel, L., O'Brien, J., Lauder, K., Searle, A., Finch, M. and Bagaria, P., 2023, September. A geological and geotechnical assessment of the UK and Irish Celtic Sea seabed for floating wind energy. In SUT Offshore Site Investigation and Geotechnics (pp. SUT-OSIG). SUT.

Kadivar, M., Ghasemi, P., Christopher, N., Maynard, A. and Barwise, A., 2024, April. Pile Drivability Assessment Through Rock Formations. In Offshore Technology Conference (p. D021S019R005). OTC."
Bedrock outcrop/subcrop; igneous,Solid Earth,Lithology,A relief formed by bedrock of unspecified lithology and genesis cropping out of the surrounding seabed. Subcropping of bedrock can be common and covered by thin sediment covers in sediment starved shelves.,Higher Constraint,Higher Constraint,Lower Constraint,Higher Constraint,Strong bedrock ,"Bedrock close to seabed surface can be difficult to pile - other foundation methods required. 

Cables must be surface-laid, increasing exposure to environmental and anthropogenic hazards. Sensitive benthic communities must be protected.","Coughlan, M., Long, M. and Doherty, P., 2020. Geological and geotechnical constraints in the Irish Sea for offshore renewable energy. Journal of Maps, 16(2), pp.420-431."
Bedrock outcrop/subcrop; metamorphic,Solid Earth,Lithology,A relief formed by bedrock of unspecified lithology and genesis cropping out of the surrounding seabed. Subcropping of bedrock can be common and covered by thin sediment covers in sediment starved shelves.,Higher Constraint,Higher Constraint,Lower Constraint,Higher Constraint,Strong bedrock ,"Bedrock close to seabed surface can be difficult to pile - other foundation methods required. 

Offshore the west coast of Scotland, palaeo-ice stream show the flow dirstion of ice and the formation of bedrock megagrooves at the seabed surface (Stoker and Bradwell, 2005). 

Cables must be surface-laid, increasing exposure to environmental and anthropogenic hazards. Sensitive benthic communities must be protected.","Stoker, M. and Bradwell, T., 2005. The Minch palaeo-ice stream, NW sector of the British–Irish Ice Sheet. Journal of the Geological Society, 162(3), pp.425-428.

Bradwell, T., Stoker, M. and Larter, R., 2007. Geomorphological signature and flow dynamics of The Minch palaeo?ice stream, northwest Scotland. Journal of Quaternary Science: Published for the Quaternary Research Association, 22(6), pp.609-617.

Dove, D., Arosio, R., Finlayson, A., Bradwell, T. and Howe, J.A., 2015. Submarine glacial landforms record Late Pleistocene ice-sheet dynamics, Inner Hebrides, Scotland. Quaternary Science Reviews, 123, pp.76-90.

Krabbendam, M., Eyles, N., Putkinen, N., Bradwell, T. and Arbelaez-Moreno, L., 2016. Streamlined hard beds formed by palaeo-ice streams: A review. Sedimentary Geology, 338, pp.24-50.

Krabbendam, M., Finlayson, A., Palamakumbura, R.N. and Hall, A., 2024. Quantifying the contribution of abrasion versus. block removal to subglacial erosion on basement rocks: very-high resolution DSM analysis Forsmark, east Sweden."
Fractured bed rock,Solid Earth,Structure,Bedrock of unspecified lithology and genesis that has multiple fractures or fracture networks causing discontinuities in the host rock that can be exploited by erosion.,Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Uneven ground,"Depending on the original porosity of the host bedrock, the secondary porosity is controlled by the density of the fracture or discontinuity network. Fractures and joints may act as conduits for surface and ground water increasing likelihood of weathering resulting in variable ground conditions. Cables must be surface-laid, increasing exposure to environmental and anthropogenic hazards.","Petrie, H.E., Eide, C.H., Haflidason, H., Brendryen, J. and Watton, T., 2024. An integrated geological characterization of the Mid?Pleistocene to Holocene geology of the Sørlige Nordsjø II offshore wind site, southern North Sea. Boreas.

Petrie, H.E., Eide, C.H., Haflidason, H. and Watton, T., 2022. A conceptual geological model for offshore wind sites in former ice stream settings: the Utsira Nord site, North Sea. Journal of the Geological Society, 179(5), pp.jgs2021-163."
Seamount,Solid Earth,Relief,"Any geographically isolated topographic unit on the seafloor taller than 1000 m. Most seamounts are formed by igneous activity close to mid-ocean ridges, island arcs, or in mid-plate settings, although blocks of continental crust, stranded during the opening of ocean basins, or at compressional settings, can form nonvolcanic seamounts (Harff et al., 2016; Harris and Baker, 2020). ",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Volcano/>5 degree slope,"Unsuitable for all infrastructure types due to typically deep water settings, steep slopes, extremely strong lithologies, and associated hazards (e.g., seismic activity).","Bray, L., Reizopoulou, S., Voukouvalas, E., Soukissian, T., Alomar, C., Vázquez-Luis, M., Deudero, S., Attrill, M.J. and Hall-Spencer, J.M., 2016. Expected effects of offshore wind farms on Mediterranean marine life. Journal of Marine Science and Engineering, 4(1), p.18."
Volcano or volcanic feature,Solid Earth,Geohazard,"A mountain or hill, typically conical, having a crater or vent through which lava, rock fragments, hot vapour, and gas are or have been erupted from the earth's crust (modified after Huggett, 2017).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Volcano,"Unsuitable for all infrastructure types due to typically deep water settings, steep slopes, extremely strong lithologies, and associated hazards (e.g., seismic activity). Geohazard considered where dynamic geological event or process that is a risk to development. ","Ercilla, G., Casas, D., Alonso, B., Casalbore, D., Galindo-Zaldívar, J., García-Gil, S., Martorelli, E., Vázquez, J.T., Azpiroz-Zabala, M., DoCouto, D. and Estrada, F., 2021, May. Offshore geological hazards: charting the course of progress and future directions. In Oceans (Vol. 2, No. 2, pp. 393-428). MDPI."
Tectonic lineament (fault),Solid Earth,"Structure, Geohazard","A discrete surface, or zone of discrete surfaces, expressed as fractures at seabed, separating two rock masses across which one mass has slid past the other (Asch et al., 2021).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Faults / potential seismicity,"Unsuitable for all infrastructure types due to vertical and lateral variation, presence of bedrock (generally unfavourable) and associated hazards (e.g., seismic activity). Faults only considered geohazard if active. Geohazard considered where dynamic geological event or process that is a risk to development - e.g., pipeline rupture.","Ercilla, G., Casas, D., Alonso, B., Casalbore, D., Galindo-Zaldívar, J., García-Gil, S., Martorelli, E., Vázquez, J.T., Azpiroz-Zabala, M., DoCouto, D. and Estrada, F., 2021, May. Offshore geological hazards: charting the course of progress and future directions. In Oceans (Vol. 2, No. 2, pp. 393-428). MDPI.

Bhattacharya, S., Amani, S., Prabhakaran, A. and Macabuag, J., 2022. Hazard considerations in the vulnerability assessment of offshore wind farms in seismic zones. Earthquake Engineering and Resilience, 1(1), pp.88-109."
"Tectonic
escarpment",Solid Earth,Relief,"An escarpment that forms as a result of unspecified faulting activity (Huggett, 2017).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,>5 degree slope,"Unsuitable for all infrastructure types due to typically steep slopes, strong lithologies, and associated hazards (e.g., seismic activity).","Micallef, A., Foglini, F., Le Bas, T., Angeletti, L., Maselli, V., Pasuto, A. and Taviani, M., 2013. The submerged paleolandscape of the Maltese Islands: Morphology, evolution and relation to Quaternary environmental change. Marine Geology, 335, pp.129-147."
Tectonic depression,Solid Earth,Relief,"A depression generated by an unspecified tectonic/structural process. Includes tectonic graben, basin, half graben, tectonic valley",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,>5 degree slope,Would have to be assessed on a site-by-site basis,
Depositional zone (aka. Accumulation zone; compressional domain) can include all mass movement (topple/fall/debris flows etc),Mass movement,"Lithology, relief","The most downslope zone of a mass movement, within which the displaced material lies above the original ground surface (modified from: Cruden, 1993). Its lower limit is set by the geometry of the TOE. The DEPOSITIONAL ZONE of SLIDES tends to be dominated by a compressional
regime (e.g. thrust and fold systems), whereas for FLOWS the material tends to disperse forming fans or aprons at the base of the slope.",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Heterogeneous sediments,"In-situ MTDs (i.e., buried or at seabed surface, ancient) may be mapped in the subsurface and penetrated via CPTs to determine lithology

Present-day mass movement may cause impact damage to WTGs and cables (or lateral displacement inducing tensions or kinks).","Fisher, J.E., Esmailzadeh, S. and Fillingham, J.N., 2023, April. Geological and Geotechnical Considerations for Floating Offshore Wind Infrastructure within the US Atlantic OCS. In Offshore Technology Conference (p. D021S028R002). OTC."
